# ----------------------------------------
# Report CSV Export
# Account: Clown Monster
# Property: HackerRankSolutions
# ----------------------------------------
# 
# All Users
# Start date: 20201123
# End date: 20210523

Page title and screen class,Users
Covariant Return Types - HackerRank Solutions,7,5,1,1.4,202.8,5,24,0,0
Cube Summation - HackerRank Solutions,5,5,0,1,24.6,1,11,0,0
Divisibility - HackerRank Solutions,5,5,1,1,22.6,1,13,0,0
Easy Addition - HackerRank Solutions,6,5,0,1.2,24.4,2,14,0,0
Exceptions python - HackerRank Solutions,7,5,0,1.4,18,4,18,0,0
Extremum Permutations - HackerRank Solutions,7,5,1,1.4,46.4,4,24,0,0
Friend Circle Queries - HackerRank Solutions,7,5,4,1.4,35,3,25,0,0
Inherited Code C++ - HackerRank Solutions,5,5,2,1,24.4,5,19,0,0
Java Currency Formatter - HackerRank Solutions,5,5,2,1,78.2,5,21,0,0
Java List - HackerRank Solutions,5,5,3,1,80.2,4,23,0,0
Java Method Overriding - HackerRank Solutions,5,5,0,1,27,4,16,0,0
Java Primality Test - HackerRank Solutions,5,5,3,1,185.8,1,18,0,0
Magic Spells C++ - HackerRank Solutions,5,5,2,1,18.4,3,17,0,0
Making Anagrams - HackerRank Solutions,5,5,3,1,23.6,1,16,0,0
Max Transform - HackerRank Solutions,29,5,0,5.8,83,2,58,0,0
Median Updates - HackerRank Solutions,5,5,1,1,25.8,2,13,0,0
Min Max Riddle - HackerRank Solutions,5,5,2,1,17,3,19,0,0
New Year Chaos - HackerRank Solutions,5,5,2,1,23,3,19,0,0
No Idea! Python - HackerRank Solutions,5,5,0,1,53.6,4,14,0,0
Pair Sums - HackerRank Solutions,5,5,0,1,29.6,1,11,0,0
Palindrome Index - HackerRank Solutions,6,5,2,1.2,30.4,2,18,0,0
Pangrams - HackerRank Solutions,9,5,1,1.8,33.6,4,26,0,0
Polar Coordinates Python - HackerRank Solutions,6,5,0,1.2,52.2,5,17,0,0
Prime Checker Java - HackerRank Solutions,5,5,3,1,65.6,4,20,0,0
Printing Tokens - HackerRank Solutions,5,5,0,1,14.8,2,12,0,0
Recursion: Fibonacci Numbers - HackerRank Solutions,8,5,2,1.6,16.8,3,24,0,0
Rooted Tree - HackerRank Solutions,5,5,1,1,41.2,1,12,0,0
Sherlock and Cost - HackerRank Solutions,5,5,0,1,19.8,3,13,0,0
Subtrees And Paths - HackerRank Solutions,5,5,0,1,26,0,9,0,0
Super Functional Strings - HackerRank Solutions,6,5,1,1.2,50.8,2,17,0,0
Superman Celebrates Diwali - HackerRank Solutions,5,5,3,1,16,1,18,0,0
Two Strings - HackerRank Solutions,7,5,1,1.4,25,4,23,0,0
Validating Email Adresses With a Filter python - HackerRank Solutions,7,5,4,1.4,16.6,5,28,0,0
Walking the Approximate Longest Path - HackerRank Solutions,5,5,1,1,23.6,2,14,0,0
Yet Another KMP Problem - HackerRank Solutions,5,5,4,1,33.2,4,22,0,0
Alien Languages - HackerRank Solutions,4,4,2,1,24.25,2,14,0,0
Beautiful Segments - HackerRank Solutions,4,4,0,1,21,0,8,0,0
Bit Array - HackerRank Solutions,5,4,2,1.25,19.5,2,17,0,0
Black and White Tree - HackerRank Solutions,4,4,1,1,30.5,4,15,0,0
Build a Palindrome - HackerRank Solutions,8,4,2,2,93.75,4,22,0,0
Burger Happiness - HackerRank Solutions,4,4,0,1,24.25,0,9,0,0
Cards Permutation - HackerRank Solutions,4,4,0,1,31.5,3,10,0,0
Circular Palindromes - HackerRank Solutions,4,4,0,1,26.25,2,10,0,0
Costly Intervals - HackerRank Solutions,4,4,0,1,26.75,0,8,0,0
Down to Zero II - HackerRank Solutions,4,4,0,1,15.75,0,8,0,0
Dynamic Summation - HackerRank Solutions,4,4,0,1,34.75,0,8,0,0
Fairy Chess - HackerRank Solutions,4,4,1,1,34.75,2,12,0,0
Fibonacci Modified - HackerRank Solutions,4,4,2,1,32.25,1,13,0,0
Fibonacci Numbers Tree - HackerRank Solutions,6,4,0,1.5,79.5,1,14,0,0
Find Angle MBC Python - HackerRank Solutions,4,4,2,1,15.5,2,13,0,0
Find Maximum Index Product - HackerRank Solutions,5,4,0,1.25,29.75,0,10,0,0
Find the Running Median - HackerRank Solutions,4,4,0,1,15.25,1,9,0,0
Find the permutation - HackerRank Solutions,5,4,0,1.25,22.5,1,10,0,0
For Loop C++ - HackerRank Solutions,5,4,0,1.25,24,4,17,0,0
Hard Disk Drives - HackerRank Solutions,8,4,3,2,27,4,26,0,0
Hash Tables: Ice Cream Parlor - HackerRank Solutions,4,4,3,1,9.25,1,14,0,0
Hexagonal Grid - HackerRank Solutions,5,4,1,1.25,13.5,2,13,0,0
Java BigInteger - HackerRank Solutions,5,4,3,1.25,29.25,3,19,0,0
Java Exception Handling (Try-catch) - HackerRank Solutions,4,4,3,1,12.75,1,14,0,0
Java Exception Handling - HackerRank Solutions,4,4,4,1,48.75,4,20,0,0
Java Generics - HackerRank Solutions,4,4,2,1,23.25,3,15,0,0
Java String Tokens - HackerRank Solutions,4,4,3,1,46.25,3,17,0,0
Jesse and Cookies - HackerRank Solutions,4,4,0,1,16.25,2,11,0,0
Kingdom Division - HackerRank Solutions,4,4,2,1,42.25,3,15,0,0
Library Fine - HackerRank Solutions,4,4,0,1,114.5,1,9,0,0
Library Query - HackerRank Solutions,4,4,0,1,18.5,0,8,0,0
Maximizing XOR - HackerRank Solutions,4,4,4,1,62,3,18,0,0
Network administration - HackerRank Solutions,4,4,0,1,31,0,8,0,0
New Year Present - HackerRank Solutions,4,4,2,1,32.75,3,15,0,0
Overloading Ostream Operator C++ - HackerRank Solutions,4,4,2,1,22,4,15,0,0
P-sequences - HackerRank Solutions,4,4,2,1,39.5,1,12,0,0
Pairs - HackerRank Solutions,4,4,0,1,12.75,2,11,0,0
Palindromic Subsets - HackerRank Solutions,5,4,0,1.25,52.25,1,11,0,0
Points in a Plane - HackerRank Solutions,4,4,1,1,22.5,1,10,0,0
Polynomial Division - HackerRank Solutions,4,4,1,1,17.75,0,10,0,0
Pseudo-Isomorphic Substrings - HackerRank Solutions,5,4,1,1.25,49.5,3,16,0,0
Recursion: Davis' Staircase - HackerRank Solutions,4,4,1,1,44.5,4,16,0,0
Reduce Function python - HackerRank Solutions,5,4,1,1.25,29.5,4,17,0,0
Roy and alpha-beta trees - HackerRank Solutions,4,4,0,1,16.75,0,8,0,0
Save the Prisoner! - HackerRank Solutions,4,4,0,1,33,3,11,0,0
Set .union() Operation - HackerRank Solutions,4,4,1,1,35.5,3,12,0,0
String Split and Join - HackerRank Solutions,10,4,0,2.5,100.25,3,23,0,0
Sum of the Maximums - HackerRank Solutions,5,4,0,1.25,21.5,0,10,0,0
Sum vs XOR - HackerRank Solutions,4,4,4,1,120.75,3,18,0,0
Summing Pieces - HackerRank Solutions,5,4,4,1.25,47.5,2,17,0,0
Taxicab Driver's Problem - HackerRank Solutions,4,4,0,1,23.25,0,9,0,0
The Indian Job - HackerRank Solutions,4,4,2,1,227.75,2,15,0,0
Transpose and Flatten python - HackerRank Solutions,4,4,0,1,17.75,4,13,0,0
Triangle Quest 2 Python - HackerRank Solutions,4,4,0,1,40.25,3,10,0,0
Two Characters - HackerRank Solutions,4,4,2,1,11.25,2,15,0,0
Two Robots - HackerRank Solutions,5,4,2,1.25,23.25,4,17,0,0
Vim War - HackerRank Solutions,4,4,1,1,23,2,12,0,0
Weighted Uniform Strings - HackerRank Solutions,4,4,3,1,24.75,1,16,0,0
Wet Shark and Two Subsequences - HackerRank Solutions,4,4,1,1,43.25,2,14,0,0
White Falcon And Tree - HackerRank Solutions,6,4,0,1.5,54.25,2,14,0,0
itertools.combinations() python - HackerRank Solutions,4,4,0,1,41,4,12,0,0
Angry Children 2 - HackerRank Solutions,3,3,1,1,46,2,10,0,0
Calculate the Nth term C - HackerRank Solutions,3,3,1,1,59,2,10,0,0
Candles Counting - HackerRank Solutions,3,3,0,1,44.333333333333336,2,9,0,0
Company Retreat - HackerRank Solutions,3,3,0,1,26.333333333333332,0,6,0,0
Cpp exception handling C++ - HackerRank Solutions,3,3,1,1,11,2,10,0,0
Far Vertices - HackerRank Solutions,3,3,1,1,24.666666666666668,1,9,0,0
Funny String - HackerRank Solutions,4,3,2,1.3333333333333333,34,3,15,0,0
Game of Thrones - I - HackerRank Solutions,3,3,1,1,99.66666666666667,2,11,0,0
Inheritance Introduction c++ - HackerRank Solutions,3,3,3,1,8,1,11,0,0
Java Reflection - Attributes - HackerRank Solutions,3,3,2,1,8,2,11,0,0
Java Varargs - Simple Addition - HackerRank Solutions,4,3,3,1.3333333333333333,34.666666666666664,3,18,0,0
Lonely Integer - HackerRank Solutions,4,3,2,1.3333333333333333,39.666666666666664,3,15,0,0
Longest Palindromic Subsequence - HackerRank Solutions,3,3,1,1,43.666666666666664,1,10,0,0
Luck Balance - HackerRank Solutions,3,3,0,1,102.66666666666667,3,9,0,0
Merging Communities - HackerRank Solutions,4,3,0,1.3333333333333333,100.66666666666667,1,9,0,0
Ones and Twos - HackerRank Solutions,3,3,2,1,28.666666666666668,1,11,0,0
Prime XOR - HackerRank Solutions,4,3,2,1.3333333333333333,16.666666666666668,1,13,0,0
Road Maintenance - HackerRank Solutions,3,3,2,1,35.666666666666664,2,12,0,0
Save Humanity - HackerRank Solutions,3,3,0,1,46,0,6,0,0
"Say ""Hello, World!"" With C++ - HackerRank Solutions",5,3,2,1.6666666666666667,18.666666666666668,3,18,0,0
Shashank and the Palindromic Strings - HackerRank Solutions,3,3,1,1,20.666666666666668,1,10,0,0
Smart Number - HackerRank Solutions,4,3,1,1.3333333333333333,33,3,14,0,0
Stock Maximize - HackerRank Solutions,4,3,1,1.3333333333333333,12,1,13,0,0
String Formatting Python - HackerRank Solutions,3,3,1,1,107,3,11,0,0
String Function Calculation - HackerRank Solutions,3,3,0,1,87.33333333333333,2,8,0,0
Subsequence Weighting - HackerRank Solutions,3,3,0,1,20.333333333333332,0,6,0,0
Suffix Rotation - HackerRank Solutions,3,3,1,1,26,1,10,0,0
Sum and Prod python - HackerRank Solutions,3,3,0,1,76.33333333333333,3,8,0,0
Super Reduced String - HackerRank Solutions,3,3,2,1,8.666666666666666,1,11,0,0
Swap Permutation - HackerRank Solutions,3,3,0,1,72.66666666666667,1,8,0,0
Travel around the world - HackerRank Solutions,3,3,3,1,18.666666666666668,2,15,0,0
Tree: Level Order Traversal - HackerRank Solutions,3,3,0,1,31.333333333333332,3,8,0,0
Turn Off the Lights - HackerRank Solutions,5,3,1,1.6666666666666667,91,2,14,0,0
Two Array Problem - HackerRank Solutions,3,3,0,1,28.666666666666668,0,6,0,0
Xor-sequence - HackerRank Solutions,3,3,3,1,26,1,13,0,0
Animal Transport - HackerRank Solutions,2,2,0,1,21.5,1,5,0,0
Arithmetic Progressions - HackerRank Solutions,2,2,0,1,21,0,4,0,0
BFS: Shortest Reach in a Graph - HackerRank Solutions,2,2,0,1,18.5,1,6,0,0
Beautiful Strings - HackerRank Solutions,4,2,2,2,38.5,1,11,0,0
Best spot - HackerRank Solutions,2,2,0,1,24.5,1,5,0,0
Billboards - HackerRank Solutions,2,2,2,1,197.5,2,10,0,0
Binary Search Tree : Insertion - HackerRank Solutions,2,2,0,1,24.5,1,5,0,0
Bonetrousle - HackerRank Solutions,2,2,1,1,16,1,8,0,0
Brick Tiling - HackerRank Solutions,2,2,0,1,19.5,1,5,0,0
Bricks Game - HackerRank Solutions,2,2,1,1,36.5,0,7,0,0
Can You Access? Java - HackerRank Solutions,2,2,0,1,16,1,5,0,0
Count Scorecards - HackerRank Solutions,2,2,0,1,27,2,7,0,0
Count Strings - HackerRank Solutions,3,2,0,1.5,25,1,7,0,0
Counting Special Sub-Cubes - HackerRank Solutions,2,2,1,1,137,2,8,0,0
Covering the stains - HackerRank Solutions,2,2,1,1,37.5,1,7,0,0
Deque-STL C++ - HackerRank Solutions,2,2,0,1,23,2,7,0,0
Designer Door Mat Python - HackerRank Solutions,3,2,0,1.5,98,2,9,0,0
Dorsey Thief - HackerRank Solutions,3,2,2,1.5,40.5,2,12,0,0
Dortmund Dilemma - HackerRank Solutions,2,2,1,1,16,1,7,0,0
Find Strings - HackerRank Solutions,2,2,1,1,11.5,1,7,0,0
Find the nearest clone - HackerRank Solutions,2,2,2,1,13.5,2,10,0,0
Fraudulent Activity Notifications - HackerRank Solutions,2,2,0,1,19,1,5,0,0
HackerRank City - HackerRank Solutions,6,2,0,3,34,1,15,0,0
Highest Value Palindrome - HackerRank Solutions,3,2,1,1.5,10.5,1,8,0,0
Integers Come In All Sizes Python - HackerRank Solutions,2,2,0,1,216,2,6,0,0
Java Loops I - HackerRank Solutions,2,2,1,1,101.5,2,8,0,0
Java Output Formatting - HackerRank Solutions,2,2,0,1,26.5,1,5,0,0
Java Singleton Pattern - HackerRank Solutions,2,2,1,1,19,2,8,0,0
Jim and the Skyscrapers - HackerRank Solutions,2,2,0,1,19.5,0,4,0,0
King and Four Sons - HackerRank Solutions,2,2,0,1,15,0,4,0,0
LCS Returns - HackerRank Solutions,2,2,0,1,15,0,5,0,0
Lily's Homework - HackerRank Solutions,2,2,0,1,11.5,1,5,0,0
Lovely Triplets - HackerRank Solutions,2,2,0,1,16.5,0,4,0,0
Maps-STL C++ - HackerRank Solutions,2,2,2,1,53.5,2,10,0,0
Mars Exploration - HackerRank Solutions,2,2,0,1,12.5,1,6,0,0
Max Array Sum - HackerRank Solutions,2,2,2,1,63,2,10,0,0
Merge Sort: Counting Inversions - HackerRank Solutions,3,2,0,1.5,24,2,9,0,0
Oil Wel - HackerRank Solutions,2,2,0,1,20,0,5,0,0
Operator Overloading C++ - HackerRank Solutions,2,2,0,1,17.5,0,4,0,0
Power-Mod Power Python - HackerRank Solutions,2,2,0,1,32,2,5,0,0
Preprocessor Solution C++ - HackerRank Solutions,2,2,1,1,6,1,8,0,0
Prime Digit Sums - HackerRank Solutions,3,2,0,1.5,88,1,9,0,0
Robot - HackerRank Solutions,3,2,0,1.5,53.5,2,8,0,0
Sherlock's Array Merging Algorithm - HackerRank Solutions,2,2,0,1,18.5,1,6,0,0
Similar Strings - HackerRank Solutions,2,2,0,1,43.5,1,5,0,0
Soluções HackerRank,0,2,0,0,15,2,5,0,0
Sorting: Bubble Sort - HackerRank Solutions,2,2,0,1,17.5,2,7,0,0
Special String Again - HackerRank Solutions,2,2,2,1,13.5,2,10,0,0
Square Subsequences - HackerRank Solutions,2,2,0,1,17.5,0,5,0,0
Symmetric Difference Python - HackerRank Solutions,2,2,1,1,46.5,2,8,0,0
The Great XOR - HackerRank Solutions,3,2,1,1.5,104,1,12,0,0
The Power Sum - HackerRank Solutions,2,2,0,1,33.5,1,4,0,0
Trees: Is This a Binary Search Tree? - HackerRank Solutions,2,2,0,1,97.5,1,5,0,0
Vector-Sort C++ - HackerRank Solutions,2,2,2,1,0.5,0,7,0,0
Zipped! python - HackerRank Solutions,2,2,1,1,4.5,2,6,0,0
حلول HackerRank,0,2,0,0,178,1,41,0,0
A Super Hero - HackerRank Solutions,1,1,0,1,28,1,3,0,0
Abbreviation - HackerRank Solutions,1,1,1,1,87,1,5,0,0
Accessing Inherited Functions C++ - HackerRank Solutions,1,1,1,1,37,1,5,0,0
Attending Workshops C++ - HackerRank Solutions,1,1,1,1,48,1,5,0,0
Bear and Steady Gene - HackerRank Solutions,1,1,0,1,16,0,2,0,0
Beautiful 3 Set - HackerRank Solutions,1,1,0,1,0,0,3,0,0
Bit Array C++ - HackerRank Solutions,1,1,0,1,36,1,3,0,0
C++ Class Template Specialization - HackerRank Solutions,2,1,0,2,58,1,6,0,0
Check Subset Python - HackerRank Solutions,1,1,0,1,12,1,3,0,0
Class C++ - HackerRank Solutions,1,1,1,1,99,1,4,0,0
Coin on the Table - HackerRank Solutions,1,1,0,1,31,0,2,0,0
Compare os trigêmeos - Soluções HackerRank,0,1,0,0,61,1,2,0,0
Counter game - HackerRank Solutions,2,1,1,2,14,1,6,0,0
Determining DNA Health - HackerRank Solutions,1,1,0,1,20,0,2,0,0
Fair Cut - HackerRank Solutions,1,1,1,1,15,0,4,0,0
Find the Seed - HackerRank Solutions,1,1,0,1,13,0,2,0,0
Función de impresión - Soluciones HackerRank,0,1,0,0,23,1,2,0,0
GCD Matrix - HackerRank Solutions,1,1,0,1,28,1,3,0,0
Gaming Array - HackerRank Solutions,1,1,1,1,14,1,5,0,0
Grid Walking - HackerRank Solutions,1,1,0,1,43,1,4,0,0
HackerRank 솔루션,0,1,0,0,57,1,2,0,0
Incorrect Regex python - HackerRank Solutions,1,1,1,1,34,1,5,0,0
Insertion Sort - Part 1 - HackerRank Solutions,1,1,0,1,7,0,2,0,0
Inverse RMQ - HackerRank Solutions,1,1,0,1,30,1,3,0,0
Java 2D Array - HackerRank Solutions,2,1,0,2,23,1,6,0,0
Java Arraylist - HackerRank Solutions,2,1,1,2,189,1,7,0,0
Java Comparator - HackerRank Solutions,2,1,0,2,125,1,5,0,0
Java Date and Time - HackerRank Solutions,1,1,0,1,50,1,3,0,0
Java Instanceof keyword - HackerRank Solutions,1,1,0,1,11,1,2,0,0
Khai thác - Giải pháp HackerRank,0,1,0,0,82,0,1,0,0
Linked Lists: Detect a Cycle - HackerRank Solutions,1,1,0,1,38,1,3,0,0
Longest Mod Path - HackerRank Solutions,1,1,0,1,32,1,3,0,0
Lucky Numbers - HackerRank Solutions,2,1,1,2,0,0,5,0,0
Mandragora Forest - HackerRank Solutions,2,1,1,2,60,1,7,0,0
Maximum Palindromes - HackerRank Solutions,1,1,0,1,19,0,2,0,0
Maximum Xor - HackerRank Solutions,1,1,0,1,53,1,3,0,0
Mining - HackerRank Solutions,2,1,0,2,112,1,5,0,0
Multi Level Inheritance C++ - HackerRank Solutions,1,1,1,1,12,1,5,0,0
Overload Operators C++ - HackerRank Solutions,2,1,0,2,30,1,5,0,0
Pattern Syntax Checker Java - HackerRank Solutions,1,1,0,1,8,1,3,0,0
Police Operation - HackerRank Solutions,1,1,1,1,144,1,5,0,0
Rectangle Area C++ - HackerRank Solutions,1,1,0,1,6,1,4,0,0
Requirement - HackerRank Solutions,1,1,0,1,10,0,2,0,0
Revertir una lista enlazada - HackerRank Solutions,0,1,0,0,23,1,2,0,0
Separate the chocolate - HackerRank Solutions,1,1,1,1,23,1,5,0,0
Sets-STL C++ - HackerRank Solutions,2,1,1,2,77,1,7,0,0
Sihirli Kare Oluşturmak - HackerRank Solutions,0,1,0,0,43,0,1,0,0
Soluciones HackerRank,0,1,0,0,520,1,2,0,0
Solusi HackerRank,0,1,0,0,352,1,22,0,0
Solutions HackerRank,0,1,0,0,10,1,2,0,0
Sorting: Comparator - HackerRank Solutions,1,1,1,1,7,1,6,0,0
String Construction - HackerRank Solutions,1,1,0,1,19,0,2,0,0
Super Kth LIS - HackerRank Solutions,1,1,0,1,75,1,3,0,0
Time Complexity: Primality - HackerRank Solutions,1,1,0,1,0,1,3,0,0
Two Strings Game - HackerRank Solutions,1,1,0,1,68,1,3,0,0
Two Subarrays - HackerRank Solutions,1,1,0,1,28,1,3,0,0
Two Two - HackerRank Solutions,1,1,0,1,17,0,2,0,0
Xor and Sum - HackerRank Solutions,1,1,1,1,32,1,4,0,0
Yet Another Minimax Problem - HackerRank Solutions,2,1,0,2,35,0,4,0,0
Zurikela's Graph - HackerRank Solutions,1,1,1,1,14,1,5,0,0
Đếm các cách - Giải pháp HackerRank,0,1,0,0,47,1,2,0,0
Решения HackerRank,0,1,0,0,62,0,1,0,0
